Player,,Team,RANK,ROUND,WORLD RANKING,AB,R,H,2B,3B,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADAMES,Angel,VEN,8,PLACEMENT ROUND,8,24,5,7,1,0,0,1,8,0.292,0.333,0.292,0.625,0,0,5,0,0,1,5,0
ALON,Gil,ISR,10,PLACEMENT ROUND,17,20,1,3,0,0,0,0,3,0.15,0.15,0.261,0.411,3,0,5,1,0,0,0,1
APHANE,Kagiso Frans,RSA,12,PLACEMENT ROUND,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ATTEWELL,Brock Clint-Samuel,NZL,6,SUPER ROUND,7,21,6,7,2,1,1,2,14,0.333,0.667,0.44,1.107,2,2,6,0,0,0,2,0
BAKER,Thomas Aaron,CAN,5,SUPER ROUND,4,7,1,2,1,0,0,1,3,0.286,0.429,0.333,0.762,1,0,2,0,1,0,0,0
BAMBOZZI,Juan Cruz,ARG,3,SUPER ROUND,1,6,3,0,0,0,0,0,0,0,0,0.333,0.333,3,0,4,0,0,0,0,0
BESGROVE,Jack,AUS,1,SUPER ROUND,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BIN MOHAMMAD NOORHAM,Huzaifie,SGP,9,PLACEMENT ROUND,12,29,2,5,0,0,1,4,8,0.172,0.276,0.172,0.448,0,0,9,1,0,0,0,1
BIONDI,Luciano,ARG,3,SUPER ROUND,1,26,3,10,2,0,0,4,12,0.385,0.462,0.448,0.91,3,0,5,0,0,1,6,3
BOBROV,Oren,ISR,10,PLACEMENT ROUND,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
BRANCHAUD,Tyler,CAN,5,SUPER ROUND,4,5,2,0,0,0,0,0,0,0,0,0.167,0.167,1,0,4,0,0,0,0,0
BROOKS,Connor,CAN,5,SUPER ROUND,4,15,2,2,1,0,0,3,3,0.133,0.2,0.278,0.478,2,1,5,0,0,0,0,0
BUCHNER,Adam,CZE,7,PLACEMENT ROUND,6,12,1,5,0,1,1,5,10,0.417,0.833,0.417,1.25,0,0,3,0,0,0,0,0
BUCHNER,Vojt?ch,CZE,7,PLACEMENT ROUND,6,13,3,2,1,0,1,3,6,0.154,0.462,0.389,0.851,5,0,8,0,0,1,0,0
CASS,Thomas Gordon,AUS,1,SUPER ROUND,2,20,1,6,0,0,1,2,9,0.3,0.45,0.333,0.783,1,0,5,0,0,0,0,0
CASTELLANOS SAMAYOA,Julio Hector,NTW,11,PLACEMENT ROUND,13,10,1,2,0,0,0,1,2,0.2,0.2,0.182,0.382,0,0,4,0,1,1,0,0
CASTILLO HERNANDEZ,Juan David,VEN,8,PLACEMENT ROUND,8,10,1,1,0,1,0,0,3,0.1,0.3,0.182,0.482,0,1,4,0,0,0,0,0
CASTILLO,Henry,NTW,11,PLACEMENT ROUND,13,18,3,4,1,1,0,0,7,0.222,0.389,0.263,0.652,1,0,6,0,0,0,0,0
CHEOH,Shun Kai,SGP,9,PLACEMENT ROUND,12,2,1,1,0,0,1,3,4,0.5,2,0.667,2.667,1,0,1,0,0,0,0,0
CHIA,Audric,SGP,9,PLACEMENT ROUND,12,21,4,5,1,0,0,3,6,0.238,0.286,0.36,0.646,2,2,10,0,0,0,0,0
CHIRINOS VASQUEZ,Michell Asdrubal,VEN,8,PLACEMENT ROUND,8,17,1,6,0,2,0,3,10,0.353,0.588,0.421,1.009,0,2,5,0,0,0,0,0
CLARK,Oscar,NZL,6,SUPER ROUND,7,11,2,1,0,0,0,0,1,0.091,0.091,0.231,0.322,2,0,5,0,0,2,4,0
COLMENAREZ QUERALES,Yeferson Jesus,VEN,8,PLACEMENT ROUND,8,18,3,3,1,1,0,2,6,0.167,0.333,0.318,0.651,4,0,10,0,0,1,1,1
COOPER-NICOLA,Te Kirika,NZL,6,SUPER ROUND,7,14,3,2,1,0,0,1,3,0.143,0.214,0.2,0.414,1,0,8,0,0,0,3,0
CREASY,Damon,NZL,6,SUPER ROUND,7,20,4,7,2,0,0,3,9,0.35,0.45,0.48,0.93,3,2,6,0,0,0,1,2
CROFT,Tyler Ashley,RSA,12,PLACEMENT ROUND,14,18,1,3,1,1,0,1,6,0.167,0.333,0.286,0.619,3,0,11,0,0,1,0,0
DABUSH,Itai,ISR,10,PLACEMENT ROUND,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
DAVIES,Huw Griffyn,NZL,6,SUPER ROUND,7,22,3,6,0,0,1,5,9,0.273,0.409,0.333,0.742,2,0,8,0,0,0,1,0
DEL CID NATARENO,Nery Arnoldo Jr.,NTW,11,PLACEMENT ROUND,13,19,3,11,2,1,0,3,15,0.579,0.789,0.6,1.389,1,0,0,0,0,0,1,0
DIAZ MIRANDA,David Antonio,MEX,4,SUPER ROUND,10,8,1,3,1,0,0,2,4,0.375,0.5,0.444,0.944,0,1,4,0,0,0,1,0
DIAZ NUÑEZ,Yeison Jose,VEN,8,PLACEMENT ROUND,8,20,1,6,0,0,0,4,6,0.3,0.3,0.333,0.633,1,0,8,0,0,0,2,0
DOBE,Haydan,AUS,1,SUPER ROUND,2,4,2,1,0,1,0,2,3,0.25,0.75,0.5,1.25,2,0,2,0,0,0,0,0
DUARTE KANTOR,Ben,ISR,10,PLACEMENT ROUND,17,14,2,3,0,0,0,0,3,0.214,0.214,0.267,0.481,1,0,3,0,0,1,0,0
EARLEY,Max,NZL,6,SUPER ROUND,7,17,1,2,0,0,0,1,2,0.118,0.118,0.211,0.329,1,1,7,0,0,0,1,0
EBRAHIM,Dylan Graham,RSA,12,PLACEMENT ROUND,14,12,2,2,0,0,0,0,2,0.167,0.167,0.286,0.453,2,0,3,0,0,0,0,0
